
2024/02/05 (12:41:07) | ===> btop++ v.1.3.0
2024/02/05 (12:41:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (13:01:53) | ===> btop++ v.1.3.0
2024/02/12 (13:01:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (13:02:38) | ===> btop++ v.1.3.0
2024/02/12 (13:02:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (13:02:45) | ===> btop++ v.1.3.0
2024/02/12 (13:02:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (13:14:20) | ===> btop++ v.1.3.0
2024/02/12 (13:14:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
